Новый ID,Исходный ID (id из фида)
197297444,112760
197302075,135494
197308338,150459
197311865,183323
197322401,223857
197347388,234324
197349423,235317
197360856,239424
197361823,240060
197362989,240420
197371322,244558
197384611,248481
197384873,248516
197403065,256073
197408558,258724
197429055,543679
197431136,265007
197438038,267314
197462166,278588
197466193,280756
197470117,285403
197500415,293154
197513853,295367
197540656,298125
197553731,298717
197562120,299321
197874329,338744
198167462,364676
198175501,364920
198182917,365117
198187035,365283
198195584,365656
198197616,365759
198203837,366030
223650490,353973
223650670,356186
223652135,525467
223652249,365096
230295126,232726
244380241,218370
244380950,298601
244381003,299856
263445878,345162
270062261,452858
270181235,452949
270183689,453035
270484103,453099
270484131,453103
270484618,453135
270662915,453387
270663003,453391
270663116,453401
270663456,453440
270663838,453486
270764063,453454
270996204,453522
270996223,453528
270996325,453544
270996494,453559
270996640,453565
271184803,453679
271514218,453772
271514627,453807
271514949,453821
271648476,453875
271648952,453927
271653213,454124
271653433,454135
271653778,454154
272114524,454178
272114822,454197
272115366,454225
272115639,454241
272368751,454319
272368790,454321
272370269,454372
272371014,454411
272573633,453138
272574605,453624
272771246,453994
272772832,454517
272773664,454553
272935072,454604
273312177,454749
273907482,455170
274026688,453636
274026775,454261
274026788,454271
274026794,454289
274026815,454344
274026922,454747
274026940,454783
274026981,454813
274026982,454816
274027019,454915
274027120,454976
274027179,454986
274027205,454990
274028061,455309
274053161,454812
274053208,454850
274053245,454890
274053280,454931
274053322,455014
274053324,455016
274053447,455101
274053468,455112
274053514,455164
274053676,455229
274053736,455289
274160381,454845
274160479,454926
274161147,455024
274161713,455180
274162798,455285
274599532,455366
274599590,455368
274599608,455369
274601032,455424
274601204,455430
274602146,455476
274602707,455486
274603208,455524
274958528,455792
275030910,453366
275030980,453417
275031123,454100
275034348,455584
275034864,455592
275034932,455618
275036511,455810
275038061,455851
275038220,455854
275039043,455874
275039474,455880
275039495,455881
275040074,455901
275462504,455985
275462568,456010
275462849,456057
275463831,456121
275464024,456135
275768695,456150
275768906,456160
275769573,456185
275770076,456199
275770171,456200
275771290,456226
275772131,456244
275772263,456246
275772368,456250
275931616,456375
275933945,456413
275935095,456428
275935938,456437
275936780,456444
276052360,453924
276052457,454096
276052521,454696
276052993,455656
276054076,456267
276054194,456310
276054206,456318
276054220,456325
276054338,456418
276054340,456419
276054653,456495
276054698,456508
276054710,456509
276054998,456564
276055108,456596
276119106,456534
276321207,456643
276322149,456694
276322211,456696
276322235,456697
276433532,456763
276433602,456769
276433836,456785
276535845,456860
276537922,456888
276538275,456899
276538612,456918
276538738,456923
277375336,457166
277375730,457190
277376287,457216
277376582,457221
277777386,457400
277777390,457411
278469168,456965
278469212,457034
278469609,457536
278470051,457667
278470277,457695
278470318,457707
278470334,457712
278470441,457740
278663477,457172
278663811,457301
278663832,457306
278663842,457309
278665314,457642
278665825,457718
278665978,457763
278666889,457789
278667082,457814
278667240,457848
278667630,457901
278668865,457908
278669300,457919
278669487,457941
278669627,457942
278670380,457948
278671571,457985
278751797,458078
278752436,458105
278925141,456766
278926145,457348
278926236,457373
278926262,457376
278927090,457517
278927282,457543
278927335,457553
278927348,457554
278927601,457583
278927841,457634
278928559,457818
278928670,457844
278929180,457955
278931818,458083
278932949,458130
279069239,458158
279069917,458206
279227610,458256
279227655,458257
279227860,458263
279227950,458267
279228361,458278
279229723,458307
279229776,458308
279230559,458337
279230620,458348
279230660,458357
279797268,458579
280094890,455690
280094967,455705
280095595,455769
280095757,455787
280096196,456618
280096255,456634
280096571,457108
280096692,457210
280096780,457292
280097626,458082
280097898,458145
280098337,458349
280098698,458411
280099303,458506
280100088,458614
280100541,458683
280100599,458694
280100609,458696
280100625,458697
280423587,458489
280425683,458850
280426183,458854
280632440,458903
281268422,458056
281268460,458403
281268907,458970
281269009,459037
281270717,459123
281270734,459126
282186631,458091
282186646,458093
282187590,458317
282187923,458396
282189285,458462
282190509,458637
282198790,458751
282201174,459001
282201307,459025
282204870,459269
282205268,459270
282207901,459345
282208228,459369
282300835,459405
282420283,459430
282570909,458539
282572947,458571
282575975,458636
282582685,459169
282583910,459209
282584806,459246
282591139,459417
282592555,459465
282751731,459470
282752245,459499
282752392,459510
282753127,459538
282753166,459543
282755498,459592
282757842,459613
282757982,459619
282923430,459675
282925270,459707
282929108,459715
283123220,459747
283123645,459755
283124343,459761
283125954,459773
283129013,459800
283129951,459807
283130225,459809
283131490,459818
283134190,459837
283505300,459494
283505398,459504
283505653,459557
283506114,459582
283819638,459873
283819957,459880
283820280,459895
283820641,459927
283821052,459955
283992100,460016
283992266,460028
283992737,460038
283995639,460105
284615621,460292
284615625,460301
284615662,460333
284615687,460379
284615689,460381
284747872,459936
284747878,459937
284747880,459942
284747926,460015
284747961,460182
284748005,460232
284748130,460349
284748182,460425
284748215,460459
284895065,458774
284896231,459449
285168383,458667
285168389,458679
285168423,458766
285168430,458852
285168518,459508
285168553,459571
285168875,459688
285168946,459704
285169160,459826
285171232,460020
285180036,460073
285180447,460098
285183228,460187
285186009,460299
285195384,460393
285198757,460423
285206438,460647
285206503,460650
285720960,460681
285721157,460714
285721170,460717
285721193,460729
285721213,460737
285721431,460810
285721486,460824
285721580,460840
285722695,460878
285722923,460886
285722929,460888
285844061,459959
285844225,460909
285844705,460938
285845662,460962
285846171,460975
285846394,460981
285846884,460994
286045461,461090
286045594,461100
286045603,461103
286045794,461174
286045965,461177
286046122,461227
286154177,460408
286154401,460410
286155760,460486
286157805,460567
286158300,460628
286161140,460816
286161948,460961
286163011,461028
286164233,461096
286164579,461118
286165214,461154
286166262,461236
286491844,460798
286494246,461186
286693807,460432
286693874,460453
286694666,461245
286695017,461255
287369245,460916
287369313,460945
287370049,461413
287370472,461457
287370588,461462
287371708,461574
287371735,461575
287372098,461589
287372575,461593
287373239,461598
287374685,461609
287374767,461611
287375390,461617
287376338,461624
287578830,461666
287578861,461671
287578974,461678
287698868,460762
287699499,461123
287700957,461360
287701055,461367
287701137,461372
287701867,461399
287703297,461448
287703679,461459
287703820,461463
287704587,461530
287704714,461546
287706159,461674
287706200,461691
288374674,459893
288374721,460040
288375348,460757
288377258,461816
288377306,461820
288377430,461831
288377725,461852
288378115,461874
288378381,461910
288378395,461914
288378452,461945
288378533,461959
288378559,461964
288378664,461980
288378700,461991
288378710,461994
288378735,462010
288378882,462032
288378996,462052
288379306,462076
288562346,462089
288562715,462134
288562762,462140
288562909,462155
289405400,461780
290463833,461764
290464203,462139
290465041,462201
290465098,462204
290466294,462269
290466360,462272
290468068,462356
290469258,462396
290746902,460481
290747679,461072
290748489,462205
290748627,462217
290750156,462448
290750237,462459
290751846,462522
291227684,462624
291228335,462641
291233340,462736
291234768,462748
291237862,462786
291238087,462788
291241812,462821
291241960,462825
291242387,462834
291242503,462846
291242872,462866
291370247,462162
291370533,462482
291371266,462656
291371345,462702
292023902,458514
292026177,460571
292026590,461062
292027034,462891
292027848,462902
292031076,462966
292032000,462993
292032691,463008
292034318,463041
292036514,463129
292037029,463149
292184363,463199
292184463,463200
292184891,463204
292184997,463208
292185085,463210
292186202,463241
292186907,463260
292187214,463274
292188075,463295
292421386,462765
292421732,462875
292421970,463287
292421995,463294
292422294,463351
292422309,463352
292422331,463355
292423753,463410
292423873,463413
292424124,463457
292424805,463542
292424996,463593
292425192,463677
292526353,461925
292526416,462124
292526493,462171
292526565,462231
292526779,462291
292526873,462362
292526991,462368
292527244,462663
292527420,462706
292527483,462840
292527497,462842
292527511,462843
292527661,463012
292527914,463050
292528190,463111
292528295,463142
292528389,463246
292530574,463535
292530952,463575
292531151,463587
292748636,463630
292753960,463645
292759775,463692
292760086,463700
292760756,463709
293147175,462988
293147186,462989
293147276,463096
293147386,463099
293147419,463100
293149201,463597
293149262,463598
293149361,463612
293152950,463744
293154270,463754
293155009,463760
293156264,463769
293160184,463811
293160265,463812
293160688,463821
293161076,463841
293161342,463845
293161450,463856
293161473,463858
293161562,463869
293161712,463879
293162300,463923
293162808,463946
293164068,464015
293485586,463697
293485772,463823
293485984,463835
293486010,463836
293486253,463854
293486611,463872
293486643,463873
293486775,463878
293489992,463960
293490439,463979
293490575,463987
293491882,464037
293491925,464039
293499178,464155
293500221,464276
293935092,462998
293940211,464199
293940305,464200
293942762,464209
293945319,464219
293947838,464233
293950374,464243
293950968,464245
293954365,464264
293954391,464265
293954656,464275
294308167,464347
294308474,464363
294495452,464390
294495679,464393
294734616,463155
294736044,464507
294736209,464541
294736215,464543
294736371,464579
294736428,464588
294736473,464596
294736494,464625
296583367,458598
296583468,458725
296586226,462344
296586262,462361
296591241,463337
296592605,463707
296594582,464612
296595490,464632
296595833,464638
296595914,464640
296596153,464645
296596663,464655
296596772,464657
296619378,464823
296619426,464824
296621274,464851
296621799,464859
296625290,464902
296632449,464991
296632536,464994
296632588,464995
296633096,465007
296633357,465012
296637518,465098
296638223,465150
296638259,465151
296638677,465168
296640585,465220
296640626,465222
296640792,465230
296641479,465256
296642091,465270
296642571,465291
296642815,465310
296642885,465317
296643387,465343
296644289,465384
296644721,465390
296651470,465430
296654669,465439
296898497,453824
296898742,454194
296904012,456168
296905171,457250
296905228,457327
296907259,459752
296908230,460386
296908602,460624
296908955,460929
296909416,461405
296913153,462463
296914078,462603
296916064,463051
296916774,463547
296917254,464059
296918100,464670
296918506,465112
296918621,465139
296920423,465476
296920886,465498
296921335,465524
296921369,465525
296926107,465574
296926466,465597
297175575,454937
297175867,458591
297175983,461379
297176001,461699
297176028,462838
297180221,464692
297181050,465132
297181722,465503
297181757,465518
297182192,465647
297182349,465657
297182384,465662
297183090,465694
297184120,465716
297184173,465719
297184811,465733
297184870,465734
297187087,465764
297187261,465766
297187429,465767
297187902,465774
297188679,465784
297188952,465788
297189533,465800
297189683,465802
297190507,465812
297191869,465825
297192133,465828
297192677,465833
297193908,465860
297194284,465869
297194465,465872
297195619,465904
297195740,465907
297196132,465920
297309758,464285
297309778,465120
297309827,465366
297309829,465367
297309837,465481
297309871,465852
297310027,465963
297310130,465999
297310185,466015
297393350,465903
297393424,465927
297393438,465931
297828727,466039
297828870,466071
297828918,466080
297829092,466089
297829547,466131
297829724,466143
297829799,466149
297829949,466161
297830086,466174
297830101,466176
297830303,466191
297830356,466195
297830425,466198
297830801,466214
297831464,466236
297831654,466241
297832273,466260
297832734,466271
297832923,466275
297834569,466302
298340851,465810
298341111,466326
298341158,466329
298341265,466335
298341336,466342
298341463,466357
298341863,466389
298343255,466431
298343560,466436
298344829,466459
298344965,466461
298349371,466557
298349548,466576
298349955,466603
298350387,466753
298511697,466040
298512281,466628
298512319,466629
298512352,466631
298512410,466636
298512671,466668
